priority,source_row,merchant_sku,product_name,brand,size,category,current_image_status,source_product_url,image_source_url,source_type,acquisition_status,review_notes
1,528,ARD-2729,"عطر اوليفيا بلوسوم 100 مل","Alhambra","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
2,529,ARD-2735,"عطر سو كانديد بور فيم","Alhambra","",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
3,530,ARD-2736,"عطر امبرلي بور عود 100 مل","Alhambra","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
4,531,ARD-2738,"عطر اوبتس V / همبرا / 100 مل","Alhambra","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
5,532,ARD-2740,"عطر اوبتس V11 / همبرا / 100 مل","Alhambra","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
6,533,ARD-2741,"عطر بورتو نيرولي 80 مل توم فورد","Alhambra","80 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
7,534,ARD-2742,"عطر فابولو انتنس 80 مل توم فورد","Alhambra","80 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
8,535,ARD-2743,"عطر روز بيتالاس 80 مل توم فورد","Alhambra","80 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
9,536,ARD-2744,"عطر توسكانو لذر 80 مل توم فورد","Alhambra","80 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
10,537,ARD-2747,"عطر جيان لوي ماتيري 100 مل","Alhambra","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
11,538,ARD-2749,"عطر يور تج ومن 100 مل","Alhambra","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
12,539,ARD-2754,"عطر جيان لوي امورتال 100 مل","Alhambra","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
13,540,ARD-2755,"عطر انفيني روز 100 مل","Alhambra","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
14,541,ARD-2756,"عطر البين هوم سبورت 100 مل","Alhambra","100 مل",perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
