batch_id,source_row_number,merchant_sku,normalized_name,slug,category,brand,size,price_source_status,image_readiness_status,image_source,normalized_image_path,image_sha256,validation_status,rejection_reason
batch003,73,ARD-1684,عطر جنية,عطر-جنية-ard-1684,perfumes,Lattafa,,VALID,IMAGE_VERIFIED,.tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-1684.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-1684-B01AED97.webp,B01AED9759A8DAECD46BEBB8894F8F2C346E04D9E230628FB87DE85DE1F9E5EB,READY,
batch003,86,ARD-2144,عطر اساطير رجال,عطر-اساطير-رجال-ard-2144,perfumes,Lattafa,,VALID,IMAGE_VERIFIED,.tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-2144.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-2144-F26B3ECC.webp,F26B3ECC4FFC3149D326985CE7936092A8301999268E894CBF3596FCBDE84B2D,READY,
batch003,87,ARD-2145,عطر اساطير نساء,عطر-اساطير-نساء-ard-2145,perfumes,Lattafa,,VALID,IMAGE_VERIFIED,.tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-2145.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-2145-6F1B845A.webp,6F1B845A5B0E99E42D3FA005A4B08465BD83478AC1DD02A6E326201974DCB224,READY,
batch003,88,ARD-2147,عطر اطياف ذهبي,عطر-اطياف-ذهبي-ard-2147,perfumes,Lattafa,,VALID,IMAGE_VERIFIED,.tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-2147.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-2147-9E709D78.webp,9E709D78E9198FC7D390DD013183894EDA5268AB65CCEF79559E86903194BE5C,READY,
batch003,210,ARD-4801,سيت هدايا فخر لطافة رجال,سيت-هدايا-فخر-لطافة-رجال-ard-4801,perfumes,Lattafa,,VALID,IMAGE_VERIFIED,.tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-4801.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-4801-A79DFAD4.webp,A79DFAD49D28F25BFFC323323504E1FEFB98D6F775AA61445D6D6CE0D87B7B2F,READY,
batch003,218,ARD-5051,عطر انا الابيض باشون 100 مل,عطر-انا-الابيض-باشون-100-مل-ard-5051,perfumes,Lattafa,100 مل,VALID,IMAGE_VERIFIED,.tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-5051.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-5051-A613B158.webp,A613B158C066F5AAFA284F7260A5E1C31D581CAF7F7B0004640124EE285A641A,READY,
batch003,220,ARD-5060,عطر كرييتف ارت 100 مل,عطر-كرييتف-ارت-100-مل-ard-5060,perfumes,Lattafa,100 مل,VALID,IMAGE_VERIFIED,.tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-5060.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-5060-33C64D09.webp,33C64D092B879251192977AA7FEBAFBF8423F2BCE372FB476C9B4F1DAB85A021,READY,
batch003,250,ARD-2672,معطر جسم انت الاول 200 مل,معطر-جسم-انت-الاول-200-مل-ard-2672,body-mist-splash,Lattafa,200 مل,VALID,IMAGE_VERIFIED,.tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-2672.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-2672-11DF982F.webp,11DF982F6A3DA08E758470002EDC2098A2906DCF0E785243C047CF374D535714,READY,
batch003,251,ARD-2674,معطر قائد الشباب 200 مل,معطر-قائد-الشباب-200-مل-ard-2674,body-mist-splash,Lattafa,200 مل,VALID,IMAGE_VERIFIED,.tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-2674.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-2674-29B68A49.webp,29B68A493AA18DC72814B1616153F1B6AE5737819649ECCCCE86AB2EC2BFD11E,READY,
batch003,279,ARD-4554,معطر مسمم ابيض انتنس 200 مل,معطر-مسمم-ابيض-انتنس-200-مل-ard-4554,body-mist-splash,Lattafa,200 مل,VALID,IMAGE_VERIFIED,.tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-4554.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-4554-F08D655D.webp,F08D655D2EE8B1CBB09E9CA0E898FB4B54FE107AFC158CAD8C666B3E0EB085F6,READY,
