priority,source_row,merchant_sku,product_name,brand,size,category,current_image_status,source_product_url,image_source_url,source_type,acquisition_status,review_notes
1,2,ARD-3812,لوشن سيف الفارس بابايا ليمون 500 مل,Saif Al Fares,500 مل,body-bath-care,READY_LOCAL,https://saifalfares.com/products/aromatic-body-lotion-papaya-amd-lemon-500ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/aromatic-body-lotion-papaya-amd-lemon-500ml-aromatic-body-lotion-papaya-amd-lemon-500ml-48150482649387.jpg?v=1732163389,official_brand,ACQUIRED_NORMALIZED,SF Papaya Lemon 500ml
2,3,ARD-3813,لوشن سيف الفارس كاكاو وصويا 500 مل,Saif Al Fares,500 مل,body-bath-care,READY_LOCAL,https://saifalfares.com/products/aromatic-body-lotion-cocoa-butter-and-soy-500ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/aromatic-body-lotion-cocoa-butter-and-soy-500ml-aromatic-body-lotion-cocoa-butter-and-soy-500ml-48150475735339.jpg?v=1732163382,official_brand,ACQUIRED_NORMALIZED,SF Cocoa Soy 500ml
3,4,ARD-3814,لوشن سيف الفارس ألوفيرا بلو بيري 500 مل,Saif Al Fares,500 مل,body-bath-care,READY_LOCAL,https://saifalfares.com/products/aromatic-body-lotion-blueberry-and-aloe-vera-500ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/aromatic-body-lotion-blueberry-and-aloe-vera-500ml-aromatic-body-lotion-blueberry-and-aloe-vera-500ml-48150484549931.jpg?v=1732163376,official_brand,ACQUIRED_NORMALIZED,SF Blueberry Aloe 500ml
4,5,ARD-3815,لوشن سيف الفارس رمان عنب 500 مل,Saif Al Fares,500 مل,body-bath-care,HOLD_IMAGE_REVIEW,,,,HOLD_IMAGE_REVIEW,HOLD_IMAGE_REVIEW: عنب vs grapefruit identity mismatch
5,6,ARD-3816,لوشن سيف الفارس ماء ورد لوز 500 مل,Saif Al Fares,500 مل,body-bath-care,READY_LOCAL,https://saifalfares.com/products/aromatic-body-lotion-rose-water-and-almond-500ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/aromatic-body-lotion-rose-water-and-almond-500ml-aromatic-body-lotion-rose-water-and-almond-500ml-48150490939691.jpg?v=1732163399,official_brand,ACQUIRED_NORMALIZED,SF Rose Almond 500ml
6,7,ARD-3819,شاور جل سنسيت بردايس,Saif Al Fares,,body-bath-care,READY_LOCAL,https://saifalfares.com/products/aromatic-shower-gel-sunset-paradise-500ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/aromatic-shower-gel-sunset-paradise-500ml-aromatic-shower-gel-sunset-paradise-500ml-45855919735083.jpg?v=1756378139,official_brand,ACQUIRED_NORMALIZED,SF Sunset Paradise
7,8,ARD-3820,شاور جل رومانتك وايت تي,Saif Al Fares,,body-bath-care,READY_LOCAL,https://saifalfares.com/products/aromatic-shower-gel-romantic-white-tea-500ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/aromatic-shower-gel-romantic-white-tea-500ml-aromatic-shower-gel-romantic-white-tea-500ml-45855919571243.jpg?v=1766551988,official_brand,ACQUIRED_NORMALIZED,SF Romantic White Tea
8,9,ARD-3821,شاور جل برتي بلوسوم,Saif Al Fares,,body-bath-care,READY_LOCAL,https://saifalfares.com/products/aromatic-shower-gel-pretty-blossom-500ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/aromatic-shower-gel-pretty-blossom-500ml-aromatic-shower-gel-pretty-blossom-500ml-45855919898923.jpg?v=1766551988,official_brand,ACQUIRED_NORMALIZED,SF Pretty Blossom
9,10,ARD-3822,شاور جل كاونتري كرين تي,Saif Al Fares,,body-bath-care,READY_LOCAL,https://saifalfares.com/products/aromatic-shower-gel-country-green-tea-500ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/aromatic-shower-gel-country-green-tea-500ml-aromatic-shower-gel-country-green-tea-500ml-45855919309099.jpg?v=1756378139,official_brand,ACQUIRED_NORMALIZED,SF Country Green Tea
10,11,ARD-3823,شاور جل بيونس كاردن,Saif Al Fares,,body-bath-care,READY_LOCAL,https://saifalfares.com/products/aromatic-shower-gel-peonies-garden-500ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/aromatic-shower-gel-peonies-garden-500ml-aromatic-shower-gel-peonies-garden-500ml-45855919636779.jpg?v=1766551988,official_brand,ACQUIRED_NORMALIZED,SF Peonies Garden
11,12,ARD-3825,بيرغموت,Saif Al Fares,,perfumes,HOLD_IMAGE_REVIEW,,,,HOLD_IMAGE_REVIEW,HOLD_IMAGE_REVIEW: Saif Bergamot unresolved
12,13,ARD-3826,كراس و ساكا,Saif Al Fares,,perfumes,HOLD_IMAGE_REVIEW,,,,HOLD_IMAGE_REVIEW,HOLD_IMAGE_REVIEW: Saif Grass & Saka unresolved
13,14,ARD-3828,عطر اكوا شهامه الورد 100 مل,Saif Al Fares,100 مل,perfumes,READY_LOCAL,https://saifalfares.com/products/shahamah-al-ward-100ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/shahamah-al-ward-100ml-perfume-shahamah-al-ward-100ml-48196206395691.jpg?v=1732163237,official_brand,ACQUIRED_NORMALIZED,Shahamah Al Ward
14,15,ARD-3829,عطر اكوا شهامه الليل 100 مل,Saif Al Fares,100 مل,perfumes,READY_LOCAL,https://saifalfares.com/products/shahamah-al-lail-100ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/shahamah-al-lail-100ml-perfume-shahamah-al-lail-100ml-48196205314347.jpg?v=1732163218,official_brand,ACQUIRED_NORMALIZED,Shahamah Al Lail
15,16,ARD-3830,عطر اكوا شهامه الروح 100 مل,Saif Al Fares,100 مل,perfumes,READY_LOCAL,https://saifalfares.com/products/shahamah-al-rooh-100ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/shahamah-al-rooh-100ml-perfume-shahamah-al-rooh-100ml-48196205707563.jpg?v=1732163225,official_brand,ACQUIRED_NORMALIZED,Shahamah Al Rooh
16,17,ARD-3831,عطر اكوا شهامه الاحلام 100 مل,Saif Al Fares,100 مل,perfumes,READY_LOCAL,https://saifalfares.com/products/shahamah-ahlaam-100ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/shahamah-ahlaam-100ml-perfume-shahamah-ahlaam-100ml-48196204691755.jpg?v=1732163213,official_brand,ACQUIRED_NORMALIZED,Shahamah Ahlaam
17,18,ARD-3832,عطر اكوا شهامه الشغف 100 مل,Saif Al Fares,100 مل,perfumes,READY_LOCAL,https://saifalfares.com/products/shahamah-al-shaghaf-100ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/shahamah-al-shaghaf-100ml-perfume-shahamah-al-shaghaf-100ml-48196206035243.jpg?v=1732163231,official_brand,ACQUIRED_NORMALIZED,Shahamah Al Shaghaf
18,19,ARD-3833,عطر اكوا اصالة عود 100 مل,Saif Al Fares,100 مل,perfumes,READY_LOCAL,https://saifalfares.com/products/asala-oud-100ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/asala-oud-100ml-perfume-asala-oud-100ml-48196042293547.jpg?v=1732163058,official_brand,ACQUIRED_NORMALIZED,Asala Oud
19,20,ARD-3834,عطر اكوا اصالة صفا 100 مل,Saif Al Fares,100 مل,perfumes,READY_LOCAL,https://saifalfares.com/products/asala-safaa-100ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/asala-safaa-100ml-perfume-asala-safaa-100ml-48196049240363.jpg?v=1732163064,official_brand,ACQUIRED_NORMALIZED,Asala Safaa
20,21,ARD-3835,عطر اكوا اصالة مسك 100 مل,Saif Al Fares,100 مل,perfumes,READY_LOCAL,https://saifalfares.com/products/asala-musk-100ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/asala-musk-100ml-perfume-asala-musk-100ml-48196041376043.jpg?v=1732163052,official_brand,ACQUIRED_NORMALIZED,Asala Musk
