priority,merchant_sku,product_name,source_product_url,image_source_url,source_type,identity_match,review_status,downloaded_at,normalized_file,mime,width,height,bytes,sha256,notes
1,ARD-3812,,https://saifalfares.com/products/aromatic-body-lotion-papaya-amd-lemon-500ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/aromatic-body-lotion-papaya-amd-lemon-500ml-aromatic-body-lotion-papaya-amd-lemon-500ml-48150482649387.jpg?v=1732163389,official_brand,YES,APPROVED,2026-08-05T13:03:40.600107Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3812.webp,image/webp,1200,1200,66388,EFBCE88F2FC3CFEACF6FE5EB1D72837CE9D4C7F958B4ED32CB282656EA462377,SF Papaya Lemon 500ml
2,ARD-3813,,https://saifalfares.com/products/aromatic-body-lotion-cocoa-butter-and-soy-500ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/aromatic-body-lotion-cocoa-butter-and-soy-500ml-aromatic-body-lotion-cocoa-butter-and-soy-500ml-48150475735339.jpg?v=1732163382,official_brand,YES,APPROVED,2026-08-05T13:03:41.564619Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3813.webp,image/webp,1200,1200,103532,F475E13970A47E36528A34AC3922A185D2AE3C14C54B8E07E3FA59980EEDE155,SF Cocoa Soy 500ml
3,ARD-3814,,https://saifalfares.com/products/aromatic-body-lotion-blueberry-and-aloe-vera-500ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/aromatic-body-lotion-blueberry-and-aloe-vera-500ml-aromatic-body-lotion-blueberry-and-aloe-vera-500ml-48150484549931.jpg?v=1732163376,official_brand,YES,APPROVED,2026-08-05T13:03:42.440327Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3814.webp,image/webp,1200,1200,99584,01206D514937745EB640A09F440913E0C91ACD2C633A98AD1AD2FAF2E993BBCE,SF Blueberry Aloe 500ml
5,ARD-3816,,https://saifalfares.com/products/aromatic-body-lotion-rose-water-and-almond-500ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/aromatic-body-lotion-rose-water-and-almond-500ml-aromatic-body-lotion-rose-water-and-almond-500ml-48150490939691.jpg?v=1732163399,official_brand,YES,APPROVED,2026-08-05T13:03:43.188852Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3816.webp,image/webp,1200,1200,66776,CF6E6098CEAB2A7DE93F1307BAFD5906F569BA4824D4189230997C5A887E3905,SF Rose Almond 500ml
6,ARD-3819,,https://saifalfares.com/products/aromatic-shower-gel-sunset-paradise-500ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/aromatic-shower-gel-sunset-paradise-500ml-aromatic-shower-gel-sunset-paradise-500ml-45855919735083.jpg?v=1756378139,official_brand,YES,APPROVED,2026-08-05T13:03:43.747920Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3819.webp,image/webp,1200,1200,22882,142E3B1F4C379868CC55E2E0AE41C8E4C7BF52499A89CF31E6CC31241F3BD2F0,SF Sunset Paradise
7,ARD-3820,,https://saifalfares.com/products/aromatic-shower-gel-romantic-white-tea-500ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/aromatic-shower-gel-romantic-white-tea-500ml-aromatic-shower-gel-romantic-white-tea-500ml-45855919571243.jpg?v=1766551988,official_brand,YES,APPROVED,2026-08-05T13:03:44.312438Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3820.webp,image/webp,1200,1200,24606,E960190E539BEBB5E0E5E63BD79415AED1FFBC0834B06B03EA366DD95F2020B6,SF Romantic White Tea
8,ARD-3821,,https://saifalfares.com/products/aromatic-shower-gel-pretty-blossom-500ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/aromatic-shower-gel-pretty-blossom-500ml-aromatic-shower-gel-pretty-blossom-500ml-45855919898923.jpg?v=1766551988,official_brand,YES,APPROVED,2026-08-05T13:03:44.889116Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3821.webp,image/webp,1200,1200,23802,D47DDE9AE66C803E0C48977F3B2DB94EFE284E74D8EF710CB53C58DB785C9184,SF Pretty Blossom
9,ARD-3822,,https://saifalfares.com/products/aromatic-shower-gel-country-green-tea-500ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/aromatic-shower-gel-country-green-tea-500ml-aromatic-shower-gel-country-green-tea-500ml-45855919309099.jpg?v=1756378139,official_brand,YES,APPROVED,2026-08-05T13:03:45.443375Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3822.webp,image/webp,1200,1200,24066,C6A3EE15F261E4D073075680EB33A85C8BEC28C4C91DA71F2AEEE5F486C92CA5,SF Country Green Tea
10,ARD-3823,,https://saifalfares.com/products/aromatic-shower-gel-peonies-garden-500ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/aromatic-shower-gel-peonies-garden-500ml-aromatic-shower-gel-peonies-garden-500ml-45855919636779.jpg?v=1766551988,official_brand,YES,APPROVED,2026-08-05T13:03:46.015788Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3823.webp,image/webp,1200,1200,23958,D861D35A5BA3E8BA8EDC058A0C601015F0E7304A41232D07547872AD00BE2DD6,SF Peonies Garden
13,ARD-3828,,https://saifalfares.com/products/shahamah-al-ward-100ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/shahamah-al-ward-100ml-perfume-shahamah-al-ward-100ml-48196206395691.jpg?v=1732163237,official_brand,YES,APPROVED,2026-08-05T13:03:46.734589Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3828.webp,image/webp,1200,1200,96514,16588BAD51F1876E045858F0759870ED71202C250CBB25A5DA99AF694705CC08,Shahamah Al Ward
14,ARD-3829,,https://saifalfares.com/products/shahamah-al-lail-100ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/shahamah-al-lail-100ml-perfume-shahamah-al-lail-100ml-48196205314347.jpg?v=1732163218,official_brand,YES,APPROVED,2026-08-05T13:03:47.548187Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3829.webp,image/webp,1200,1200,134144,789C0F5E6129E73D533E2584258037FB37DA83677A64C15FD16D6DC38A0070DC,Shahamah Al Lail
15,ARD-3830,,https://saifalfares.com/products/shahamah-al-rooh-100ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/shahamah-al-rooh-100ml-perfume-shahamah-al-rooh-100ml-48196205707563.jpg?v=1732163225,official_brand,YES,APPROVED,2026-08-05T13:03:49.103385Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3830.webp,image/webp,1200,1200,129532,C5FB18BD754A08FDF895DC529B8E92A2846B179F0539234BFA6C322CCC63CFF2,Shahamah Al Rooh
16,ARD-3831,,https://saifalfares.com/products/shahamah-ahlaam-100ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/shahamah-ahlaam-100ml-perfume-shahamah-ahlaam-100ml-48196204691755.jpg?v=1732163213,official_brand,YES,APPROVED,2026-08-05T13:03:50.453606Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3831.webp,image/webp,1200,1200,116536,01516A6664D823E984DCAB0E765838E5DBFAFA55338EA2A19C2E38C8B813B629,Shahamah Ahlaam
17,ARD-3832,,https://saifalfares.com/products/shahamah-al-shaghaf-100ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/shahamah-al-shaghaf-100ml-perfume-shahamah-al-shaghaf-100ml-48196206035243.jpg?v=1732163231,official_brand,YES,APPROVED,2026-08-05T13:03:51.787447Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3832.webp,image/webp,1200,1200,101756,412CA3B6CFF582069831C2C3A4C6311B3B45FECE0D93C7F78E5ADF160890C0AC,Shahamah Al Shaghaf
18,ARD-3833,,https://saifalfares.com/products/asala-oud-100ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/asala-oud-100ml-perfume-asala-oud-100ml-48196042293547.jpg?v=1732163058,official_brand,YES,APPROVED,2026-08-05T13:03:52.726051Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3833.webp,image/webp,1200,1200,157974,DDB3EEFB3DD3FC85E33CEE15405FBF93EB1C9F771C22BF84286F9C08126DE0C4,Asala Oud
19,ARD-3834,,https://saifalfares.com/products/asala-safaa-100ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/asala-safaa-100ml-perfume-asala-safaa-100ml-48196049240363.jpg?v=1732163064,official_brand,YES,APPROVED,2026-08-05T13:03:53.696583Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3834.webp,image/webp,1200,1200,139374,8411530D2CA165FD4A0A4F4CD8297A431861BA32F07D403F82CA775993971C09,Asala Safaa
20,ARD-3835,,https://saifalfares.com/products/asala-musk-100ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/asala-musk-100ml-perfume-asala-musk-100ml-48196041376043.jpg?v=1732163052,official_brand,YES,APPROVED,2026-08-05T13:03:54.714226Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3835.webp,image/webp,1200,1200,126142,5C2E0485227700EF69BEC4BA8F64619FD3716AF8B497EE7D4C72E846CF09E4D2,Asala Musk
21,ARD-3836,,https://saifalfares.com/products/asala-marwa-100ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/asala-marwa-100ml-perfume-asala-marwa-100ml-48196041113899.jpg?v=1732163045,official_brand,YES,APPROVED,2026-08-05T13:03:55.757343Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3836.webp,image/webp,1200,1200,136732,EA921E4C3E76963740480A4C3B7D7B1EFF81B3E010DA8E01C75F44174A575D18,Asala Marwa
22,ARD-3837,,https://saifalfares.com/products/asala-shurooq-100ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/asala-shurooq-100ml-perfume-asala-shurooq-100ml-48196048716075.jpg?v=1732163071,official_brand,YES,APPROVED,2026-08-05T13:03:56.822328Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3837.webp,image/webp,1200,1200,156954,8958B30B31732F4955A8A0516D0B607154E46A4BF8DCFD97FD184E63040DEF41,Asala Shurooq
23,ARD-3838,,https://saifalfares.com/products/kalimati-qamar-100ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/kalimati-qamar-100ml-perfume-kalimati-qamar-100ml-48196142039339.jpg?v=1732163117,official_brand,YES,APPROVED,2026-08-05T13:03:57.808793Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3838.webp,image/webp,1200,1200,112728,C415A34A430FE27D774FF375B62CA785638758A29747E51B2343831DBF1E95B8,Kalimati Qamar
24,ARD-3839,,https://saifalfares.com/products/kalimati-shams-100ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/kalimati-shams-100ml-perfume-kalimati-shams-100ml-48196142760235.jpg?v=1732163130,official_brand,YES,APPROVED,2026-08-05T13:03:59.194564Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3839.webp,image/webp,1200,1200,130880,8EE594FB71CE340C75F85E31D4E77F8301AD01E07C6C046D135B5F666019B565,Kalimati Shams
25,ARD-3840,,https://saifalfares.com/products/kalimati-rahma-100ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/kalimati-rahma-100ml-perfume-kalimati-rahma-100ml-48196142498091.jpg?v=1732163124,official_brand,YES,APPROVED,2026-08-05T13:04:00.365501Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3840.webp,image/webp,1200,1200,160712,AA54BB0AA5519C297B84E979B1D5303CAD749A7CB499EB33C2515F5E80CE626A,Kalimati Rahma
26,ARD-3842,,https://saifalfares.com/products/kalimati-showq-100ml,https://cdn.shopify.com/s/files/1/0816/1856/7467/files/kalimati-showq-100ml-perfume-kalimati-showq-100ml-48196142956843.jpg?v=1732163136,official_brand,YES,APPROVED,2026-08-05T13:04:01.636529Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-3842.webp,image/webp,1200,1200,127452,A8DAE749B4843DB3D7D9429A597923E0E5B695661F4CA1BBAA6C1E649E2D5132,Kalimati Showq
27,ARD-1249,,https://www.nahdionline.com/en-sa/lattafa-ser-al-khulood-gold-eau-de-parfum-100-ml/pdp/103187365,https://ecombe.nahdionline.com/media/catalog/product/1/0/103187365_66c45eaf933e6600a.jpg,reputable_retailer,YES,APPROVED,2026-08-05T13:04:02.351410Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-1249.webp,image/webp,1200,1200,98894,54D5EC31432F4326BE2021C51AC0486A120E40929379F3ECCDF3E0C45DC3E782,Ser Al Khulood Gold
28,ARD-1250,,https://www.lattafa-usa.com/products/ameer-al-oudh-edp-deo,https://cdn.shopify.com/s/files/1/0754/4936/8799/files/ameer_al_oudh.png?v=1750566008,official_distributor,YES,APPROVED,2026-08-05T13:04:03.254368Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-1250.webp,image/webp,1200,1200,44394,A9149A05773481EF5EA0CDC6482725CAA5B4E6BAD68A615E6BE729326326B159,Ameer Al Oudh
29,ARD-1256,عطر ماهر الذهبي,https://www.lattafa-usa.com/products/maahir,https://cdn.shopify.com/s/files/1/0754/4936/8799/files/Maahir-1.png?v=1747422458,official_distributor,YES,APPROVED,2026-08-05T13:18:16.661493Z,.tmp-product-import\ard-al-khaleej\bulk2200\normalized\ARD-1256.webp,image/webp,1200,1200,43206,1287F538133494DFB6CCC5ADDCBEF34BEDF50E446B0A0C12D81B8E842479CC54,Maahir classic gold
