priority,source_row,merchant_sku,product_name,brand,size,category,current_image_status,source_product_url,image_source_url,source_type,acquisition_status,review_notes
1,1136,ARD-4855,عطر فواح مكس فروت جديد,دار المسك,,home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
2,1137,ARD-4856,عطر فواح بطيخ جديد,دار المسك,,home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
3,1138,ARD-4857,عطر فواح ستروبري جديد,دار المسك,,home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
4,1139,ARD-4858,عطر فواح باربي جديد,دار المسك,,home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
5,1140,ARD-4859,عطر فواح شيلة سكريت جديد,دار المسك,,home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
6,1141,ARD-4860,عطر فواح كاندي جديد,دار المسك,,home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
7,1142,ARD-4861,عطر فواح مود جديد,دار المسك,,home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
8,1143,ARD-4862,عطر فواح باريس جديد,دار المسك,,home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
9,1144,ARD-4863,عطر فواح لافندر جديد,دار المسك,,home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
10,1145,ARD-4864,عطر فواح مالديف جديد,دار المسك,,home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
11,1146,ARD-4865,عطر فواح كام سنت جديد,دار المسك,,home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
12,1147,ARD-4866,عطر فواح خوخ جديد,دار المسك,,home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
13,1148,ARD-4867,عطر فواح بلاك ستون جديد,دار المسك,,home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
14,1149,ARD-4868,عطر فواح جيري جديد,دار المسك,,home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
