priority,source_row,merchant_sku,product_name,brand,size,category,current_image_status,source_product_url,image_source_url,source_type,acquisition_status,review_notes
1,1445,ARD-3419,بودي مست غلاها زايد 250 مل / أرض الخليج,أرض الخليج,250 مل,body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
2,1446,ARD-3420,بودي مست فاطمة 250 مل / أرض الخليج,أرض الخليج,250 مل,body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
3,1447,ARD-3421,بودي مست صبايا 250 مل / أرض الخليج,أرض الخليج,250 مل,body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
4,1448,ARD-3423,بودي مست العروسه 250 مل / أرض الخليج,أرض الخليج,250 مل,body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
5,1449,ARD-3424,بودي مست الانوثه ابيض 250 مل / أرض الخليج,أرض الخليج,250 مل,body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
6,1450,ARD-3429,بودي مست مكياج 250 مل / أرض الخليج,أرض الخليج,250 مل,powder-makeup,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
7,1451,ARD-3472,بودي مست فقط لنساء 250 مل / أرض الخليج,أرض الخليج,250 مل,body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
8,1452,ARD-183,عطر دلع البنات,مملكة العود,,perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
9,1453,ARD-216,عطر كهرمانه,مملكة العود,,perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
10,1454,ARD-234,عطر راشد,مملكة العود,,perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
11,1455,ARD-236,عطر عليا مركز,مملكة العود,,perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
