priority,source_row,merchant_sku,product_name,brand,size,category,current_image_status,source_product_url,image_source_url,source_type,acquisition_status,review_notes
1,4,ARD-3815,لوشن سيف الفارس رمان عنب 500 مل,Saif Al Fares,500 مل,body-bath-care,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
2,11,ARD-3825,بيرغموت,Saif Al Fares,,perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
3,12,ARD-3826,كراس و ساكا,Saif Al Fares,,perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
4,72,ARD-1684,عطر جنية,Lattafa,,perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
5,84,ARD-2143,عطر ايام نساء,Lattafa,,perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
6,85,ARD-2144,عطر اساطير رجال,Lattafa,,perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
7,86,ARD-2145,عطر اساطير نساء,Lattafa,,perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
8,87,ARD-2147,عطر اطياف ذهبي,Lattafa,,perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
9,209,ARD-4801,سيت هدايا فخر لطافة رجال,Lattafa,,perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
10,217,ARD-5051,عطر انا الابيض باشون 100 مل,Lattafa,100 مل,perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
11,219,ARD-5060,عطر كرييتف ارت 100 مل,Lattafa,100 مل,perfumes,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
12,224,ARD-869,معطر جسم شيخ الشيوخ,Lattafa,,body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
13,227,ARD-1087,معطر شيخ شيوخ مركز,Lattafa,,body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
14,249,ARD-2672,معطر جسم انت الاول 200 مل,Lattafa,200 مل,body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
15,250,ARD-2674,معطر قائد الشباب 200 مل,Lattafa,200 مل,body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
16,278,ARD-4554,معطر مسمم ابيض انتنس 200 مل,Lattafa,200 مل,body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
17,279,ARD-4555,معطر جسم حياتي الملكي,Lattafa,,body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
18,280,ARD-4556,معطر اسد بوبون,Lattafa,,body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
19,283,ARD-4703,معطر جسم ترياق 200 مل,Lattafa,200 مل,body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
20,284,ARD-4704,معطر فكتوريا 200 مل,Lattafa,200 مل,body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
21,286,ARD-4706,معطر هيا 200 مل,Lattafa,200 مل,body-mist-splash,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
22,311,ARD-2640,عطر محاسن كرستال فيوليت 25 مل زيتي,Lattafa,25 مل,mini-travel-perfume,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
23,317,ARD-2788,معطر جو لطافة جديد وشوشة,Lattafa,,home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
24,324,ARD-2798,معطر جو لطافة جديد رمز لطافة ذهبي,Lattafa,,home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,Staged as metadata-only IMAGE_PENDING
